ID,Name,Area
1507,Texcoco,924
1319,Tecomulco,469
901,Zona Metropolitana,1921
1320,Ápan,717
2902,Soltepec,817
1506,Chalco - Amecameca,868
1508,Cuautitlán - Pachuca,3059
