ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,318.02,311.34,228.24,373.99,345.49,133.4,196.54,216.29,158.69,142.91,154.7,239.75,115.35,173.22,74.57,65.45,196.05,100.39,254.5,158.46,116.49,294.57
36,280.71,278.6,201.48,337.75,302.04,117.25,173.55,196.06,143.38,123.94,132.94,215.47,98.42,154.1,58.41,55.93,175.75,89.03,226.98,140.64,95.87,257.86
37,256.83,251.43,177.35,304.38,275.94,97.89,146.5,179.42,124.92,80.47,109.53,172.1,81.5,131.75,35.84,20.46,152.6,76.46,200.01,133.28,77.44,234
38,345.36,310.72,224.33,376.16,346.24,139.69,213.17,235.26,164.57,120.09,159.3,219.18,109.68,176.95,41.55,49.7,218.85,93.79,248.41,166.09,128.35,311.86
39,305.02,268.88,196.11,342.36,320.75,127.05,177.53,209.37,141.08,87.5,124.06,187.26,90.12,146.34,26.38,24.21,183.81,82.17,211.44,144.37,92.06,256.31
40,160.1,153.9,153.74,229.83,204.25,45.1,134.24,182.09,111.98,81.06,38.3,132.41,41.48,113.5,72.75,31.77,158.86,101.26,209.73,97.24,55.85,196.38
41,241.08,209.88,206.18,308.12,277.43,71.51,169.24,219.49,151.49,106.15,81.28,177.69,84.13,160.4,112.01,56.22,239.21,151.23,284.1,158.18,102.17,273.16
42,220.69,206.51,192.29,281.56,234.31,68.61,153.26,203.43,137.63,89.46,79.95,164.67,77.09,142.98,96.25,44.83,222.16,132.89,257.96,143.36,92.37,256.69
43,177.26,170.07,154.08,227.54,195.96,62.72,121.47,165.13,112.77,76.29,51.99,142.09,52.78,109.5,71.04,20.06,163.42,91.65,180.23,98.65,60.18,194.07
44,266.19,247.51,234.14,315.71,286.58,101.66,174.41,242.17,166.34,119.29,94.89,202.07,79.9,154.87,104.64,33.62,222.95,125.78,241.47,153.1,107.12,261.43
45,244.92,223.18,209.11,298.08,268.61,83.03,161.77,212.2,150.02,106.08,67.85,191.05,63.53,145.44,84.59,22.86,195.91,116.71,229.95,128.34,84.21,237.39
46,220.2,189.57,184.7,260.97,241.35,72.99,142.05,194.24,126.71,86.26,57.72,167.78,41.07,120.36,67.52,15.53,161.49,103.71,195.05,99.88,70.46,204.57
47,264.24,223.03,209.96,313.57,286.75,95.13,169.09,217.07,150.65,122.29,86.23,204.8,67.23,153.39,79.37,40.91,179.76,117.68,227.46,124.83,80.82,244.4
48,208.33,191.29,163.53,261.23,224,75.94,130.39,174.2,113.13,97.52,66.99,181.33,60.2,120.11,74.09,29.31,152.75,105.33,196.84,104.72,68.5,200.53
49,250.24,237.94,201.29,315.93,269.79,103.99,148.68,193.45,139.88,122.79,103.82,209.94,83.27,144.14,70.11,37.29,180.09,102.03,219.49,133.27,92.18,237.98
50,305.02,280.02,241.13,346.44,320.77,124.96,178.94,230.42,171.84,151.17,145.68,236.43,105.85,190.87,92.45,56.57,210.57,119.7,252.37,149.72,104.31,276.62
51,122.6,127.46,103.58,154.64,137.64,55.26,81.43,98.34,77.11,57.41,65.32,101.79,48.11,74.76,41.29,27.63,91.92,55.32,112.77,75.96,50.35,121.12
52,322.39,304.27,235.5,370.95,340.5,129.58,189.05,221.37,162.68,137.32,152.14,232.37,106.41,177.48,70.25,56.42,208.12,115.27,252.92,179.7,113.65,290
