ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
43,220.19,234.67,210.1,289.91,275.51,131.2,172.93,230.97,186.43,123.95,134.41,181.96,95.95,188.03,149.76,101.32,194.19,125.71
44,308.78,330.15,283.96,398.17,389.99,176.8,253.27,298.56,241.6,176.22,183.21,228.32,133.79,249.26,191.46,127.61,242.24,168.06
45,284.99,298.93,239.23,363.51,365.1,169.26,218.66,268.86,219.05,158.5,155.29,205.58,110.11,230.96,172.86,107.35,220.95,158.71
46,244.86,249.75,200.14,324.36,317.41,137.79,178.17,203.83,159.25,136.78,117.45,173.57,81.73,179.51,120.14,69.75,181.42,135.97
47,289.61,291.84,241.88,369.68,352.69,168.66,224.46,232.31,188.28,155.07,150.99,204.85,107,212.43,140.15,85.93,214.8,150.47
48,267.65,253.18,222.36,340.32,311.47,155.72,200.19,226.61,176.52,135.65,138.44,195.75,111.73,181.28,133.74,77.08,200.43,141.38
49,348.47,335.48,282.84,407.23,386.65,209.96,259.54,284.97,248.36,180.67,204.73,228.89,168.96,247.72,186.54,116.42,254.32,180.26
50,403.58,376.6,327.46,452.74,441.53,246.09,304.18,341.48,307.03,217.85,256.36,277.23,216.01,294.39,243.79,162.55,301.72,223.65
51,190.66,194.51,175.96,226.04,214.78,123.41,149.47,169.11,158.89,112.79,138.65,145.58,110.7,155.22,119.9,80.62,157.52,109.92
52,513.83,523.72,446.01,574.5,562.61,313.14,396.73,431.8,412.84,308.89,349.6,373.71,306.2,417.09,340.91,257.36,395.52,285.16
53,478.9,505.35,417.15,522.71,514.97,284.42,375.33,405.42,379.77,297.01,322.82,371.42,282.89,386.13,297.19,236.97,370.01,261.98
54,391.67,406.09,344.85,442.99,422.41,211.27,305.17,324.32,287.28,213.05,267.55,290.27,222.86,293.39,226.06,181.39,287.79,184.67
55,527.03,560.8,458,602.45,556.21,290.24,374.42,425.59,340.24,232.86,323.45,351.5,254.66,370.16,280.39,235.81,373.22,228.98
56,518.9,566.21,466.6,578.58,498.47,247.18,330.68,356.96,290.27,190.21,271.96,295.66,228.28,315.25,231.14,187.54,324.37,205.67
57,492.81,542.37,454.06,539.14,472.53,210.43,297.6,302.21,258.74,163.87,203.56,237.06,206.34,249.23,167.14,128.08,271.57,174.65
58,164.12,166.96,189.37,262.25,217.02,56.01,139.97,174.25,127.38,83.36,84.84,146.83,93.66,198.03,122.08,58.53,171.78,145.84
59,129.48,121.45,133.92,167.46,156.29,53.77,99.96,137.31,105.69,63.82,73.96,114.26,70.1,123.74,91.31,54.71,129.39,97.76
60,178.43,176.14,172.18,217.78,221.75,72.53,130.08,183.53,137.82,78.76,104.01,149.8,83.25,154.86,129.27,82.53,161.19,107.4
61,177.65,183.93,175.62,226.84,235.42,85.95,137.72,184.8,136.54,80.85,110.96,151.16,89.2,156.51,124.36,86.01,159.68,110.51
62,133.28,136.38,132.57,172.12,169.84,72.29,111.65,139.2,109.14,71.88,83.81,114.67,67.95,114.66,83.6,57.25,123.97,92.24
63,184.73,191.38,161,231.29,225.86,98.82,138.47,178.65,138.86,95.87,97.82,142.51,78.67,142.14,105.82,64.43,156.66,107.53
64,106.26,117.63,94.96,139.34,146.23,60.15,92.28,109.62,85,57.74,64.07,80.05,47.7,86.75,63.44,35.07,92.92,63.93
65,26.63,27.14,23.81,33.17,34.42,16.21,22.54,27.34,21.49,15.16,17.96,19.8,13.89,20.87,15.05,12.16,23.88,15.26
66,148.7,149.79,123.56,194.79,191.2,84.6,106.18,133.3,93.99,85.7,70.9,115.54,49.44,106.18,73.19,43.02,104.19,86.36
67,75.44,79.37,65.05,94.27,97.3,45.42,57.76,64.35,51.94,40.25,47.51,55.45,36.35,50.87,35.17,21.21,58.88,41.06
68,42.31,43.54,36.47,48.86,45.04,28.85,31.94,39.43,33.88,18.68,31.4,30.24,23.93,32.91,26.31,16.09,36.94,25.63
69,15.13,14.5,14.48,16.6,16.21,12.43,10,13.65,15.28,7.06,14.4,10.15,9.73,9.76,7.98,2.78,13.93,6.2
70,96.46,95.29,90.6,116.89,109.78,63.58,75.54,89.34,77.29,54.67,66.81,71.95,55.68,78.28,64.59,44.23,81.52,60.19
71,349.78,339.63,307.25,404.34,373.68,219.08,255.88,301.09,273.33,186.85,251.76,260.44,206.29,259.86,220.67,137.77,272.47,185.76
72,433.89,430.51,389.94,503.55,484.62,267.11,329.15,378.16,330.76,246.42,293.34,329.57,251.96,330.09,277.74,191.95,326.54,233.18
73,377.74,377.51,339.21,443.21,413.76,210.3,272.51,329.23,271.99,177.42,251.13,261.69,193.28,254.27,213.16,153.86,273.1,182.33
74,440.65,466.07,394.69,529.51,473.18,222.19,283.97,372.05,271.41,146.69,282.71,280.59,193.45,235.02,205.18,142.3,287.18,205.94
75,456.09,495.89,408.93,522.57,455.93,204.46,280.06,317.07,249.61,158.91,235.86,248.07,190.23,247.04,185.52,130.56,275.47,188.02
76,492.83,547.86,462.71,553.28,497.2,219.07,301.26,321.26,255.99,177.07,218.89,244.62,213.8,266.92,187.22,124.37,280.45,181.66
77,519.23,558.86,467.57,580.41,534.41,259.72,323.46,345.71,276.54,177.5,238.72,257.06,209.98,265.83,183.34,126.41,290.49,193.24
78,125.15,115.39,133.75,165.81,161.28,40.92,99.38,145.1,103.27,52.38,74.9,100.84,84.11,146.26,86.32,57.28,126.71,101.84
79,68.74,63.99,72.39,77.21,85.29,24.8,49.13,74.73,50.97,26.86,38.28,59.94,36.92,59.68,44.18,23.03,67.02,42.86
80,120.33,116.81,124.8,142.67,150.53,45.84,90.31,130.31,100.86,61.43,68.7,101.1,67.5,113.47,86.64,65.06,122.77,87.43
81,26.75,19.82,20.53,25.28,37.89,10.05,18.01,21.22,19.42,8.67,17.37,18.09,12.55,20.29,13.44,12.06,23.98,12.87
82,17.71,17.55,16.19,19.84,23.55,9.7,14.61,17.27,16.15,8.69,11.99,13.01,10.82,14.59,11.24,12.13,17.69,11.57
83,5.16,4.66,4.63,4.44,7.83,2.19,2.07,2.04,3.93,1.71,2.69,2.53,3.69,1.99,2.37,1.15,3.95,2.05
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,54.74,60.24,41.86,52.23,63.28,32.83,41.68,50.37,43,27.49,38.31,39.06,32.4,41.91,30.35,25.2,40.66,31.82
87,17.11,16.52,14.05,23.25,20.74,7.74,11.68,12.13,11.21,8.79,9.11,11.08,7.41,11.23,9.12,4.98,11.67,9.63
88,5.33,4.85,2.48,5.45,4.93,3.6,3.56,3.24,2.84,0.39,4.7,3.21,2.83,1.18,1.3,0,4.05,0.42
89,48.08,48.6,39.43,57.51,49.12,30.2,32.93,40.41,36.08,25.23,33.12,32.89,25.94,33.48,28.19,17.21,34.85,28.12
90,128.62,131.62,117.14,165.12,147.19,77.81,90.63,110.98,95.43,60.85,95.8,102.64,67.65,86.02,61.06,36.52,103.17,70.24
91,180.96,173.95,162.48,216.72,194.52,108.27,126.08,167.75,139.63,86.43,140.5,132.23,93.64,119.23,99.86,62.21,138.83,98.36
92,195.84,182.88,177.89,229.96,207.45,114.48,136.28,187.32,154.08,93.71,156.7,146.9,109.2,122.2,121.26,77.8,158.21,103.54
93,262.86,279.76,233.22,321.15,293.67,139.41,167.52,261.35,196.57,96.01,202.03,170.47,104.44,124.62,128.93,90.65,194.2,128.78
94,396.93,402.34,335.8,481.97,438.14,181.68,245.84,372.33,263.79,109.84,292.65,244.23,133.89,160.41,171.35,104.17,280.01,176.45
95,366.62,393.76,335.09,450.41,394.48,170.79,227.7,310.13,221.39,104.74,236.75,210.04,125.19,164.72,145.78,92.64,244.49,167.26
96,421.7,461.54,391.16,493.72,456.59,207.98,266.23,313.11,230.67,138.19,217.4,214.91,167.84,208.89,153.38,97.62,250.53,171.11
97,517.2,556.76,483.53,603.12,553.69,277.9,345.15,383.84,296.06,176.85,278.81,282.29,210.43,269.25,178.91,133.88,299.65,206.93
98,33.15,31.3,29.7,37.05,39.3,13.77,26.09,35.15,29.46,18.23,22.71,25,24.17,32.76,23.77,20.59,38.98,24.93
99,20.85,18.42,20.72,26.19,23,4.87,12.98,21.4,14.19,9.93,10.26,17.81,8.45,15.44,10.16,4.42,22.4,15.53
100,43.08,37.74,43.37,53.08,51.31,16.56,30.68,44.46,35.11,27.42,19.33,42.65,17.66,42.07,30.36,23.86,46.19,33.84
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6.58,9.46,3.98,6.52,12.44,5.92,4.88,4.09,5.21,1.02,6.97,4.54,6.56,3.48,4.82,0.74,5.19,0.48
106,2.91,3.31,2.97,4.84,5.88,2.14,3.73,2.69,2.65,1.09,2.83,2.87,3.14,2.51,1.88,1.06,2.47,0.5
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,25.86,23.33,14.89,29.12,24.96,11.75,15.32,17.38,13.77,10.58,12.94,18.2,12.19,17.37,12.08,4.68,19.87,10.99
109,27.39,30.71,25.97,38.03,36.19,15.27,18.92,21.03,20.09,19.19,16.77,26.66,16.76,20.04,14.55,9.33,18.13,15.46
110,168.76,167.64,149.15,211.77,187.13,99.62,115.5,146.18,119.53,77.1,107.59,117.1,84.24,123.1,97.64,62.76,127.26,103.58
111,9.46,10.63,5.21,11.43,8.25,5.93,4.44,7.56,5.95,0,9.1,5.03,4.37,0.75,2.24,0,8.72,0.15
112,24.08,23.65,20.12,28.13,24.72,13.74,14.68,21.13,17.73,9.14,16.55,14.53,10.74,15.17,15.88,10.12,17.44,13.19
113,121.36,120.19,100.63,144.2,126.46,56.93,75.38,141.17,92.19,39.6,104.55,81.28,40.39,53.41,54.81,36.46,94.03,62.24
114,262.33,265.88,213.23,312.64,289.96,116.08,157.8,300.09,205.99,74.52,224.81,157.75,87.03,102.83,128.44,81.04,214.06,117.75
